"","HUVECS","VM015","VM024","VM038","VM040","VM042","VM043","VM048","VM053","VM054","VM055","VM056","VM060","VM064","VM066","VM068","VM071","VM072","VM073","VM081","VM082","VM083","VM085","VM089","VM090","VM092","VM093","VM099","VM103","VM108","VM110","VM111","VM113","VM119","VM124","VM125","VM127","HUVECs_2","HUVECs_3","HUVECs_4","HDLECs_1","HDLECs_2","HDLECs_3"
"CTSB",9060,13321,6808,20387,14201,9259,13990,17,15497,4298,2441,12645,9588,11376,15,7742,12,7341,8249,10211,6252,10369,6081,18898,17295,5079,8716,7121,6269,2911,4112,3476,11865,3944,8598,10958,8,2526,10852,12648,17007,17175,16568
"HPCAL1",4989,4205,37537,6286,9907,11056,3005,5936,2546,3722,3514,8159,2351,5035,4281,2968,4668,4325,2634,7326,3969,5174,3708,5187,9393,4565,4607,1470,7038,4387,2595,7074,6507,5532,3796,2818,6536,3838,4338,3350,4237,3080,3208
"SASH1",12918,16079,2835,20563,4893,14957,11191,10260,12746,11790,12607,19736,12036,11626,13240,10202,7745,7602,10277,13174,14492,11949,5300,18411,21415,21871,21542,8488,18068,10089,20800,6244,12020,12775,16308,12011,11418,16640,13879,16642,19508,23959,27312
"AP1B1",12636,9446,7915,13274,4851,10122,14623,8148,14161,8993,10744,12645,16844,11331,10972,17831,9868,9375,18175,9260,11292,12486,7693,18799,13959,14494,11447,5994,6940,9617,11928,7531,9376,7126,15079,11192,12575,16051,16803,15947,15631,28026,33831
"AFAP1L1",4348,10224,1613,8821,1109,9410,7402,3678,11779,13466,14241,4740,10271,4762,5167,8012,18916,5310,9244,5201,4406,4104,5598,7489,8208,9851,11611,454,14575,22372,15293,3502,2981,5909,7816,6298,5827,5610,5773,4959,16215,18053,21882
"EMCN",8997,5053,508,10863,2,11891,7436,4201,10915,15959,4267,12131,2250,4430,6353,4776,6093,13029,2176,4069,5929,6279,11099,8253,16625,10375,11307,56,21461,5669,1714,2545,8135,14758,14069,18110,7468,13463,17902,16661,7530,6139,6054
"LRP5",6726,6123,850,4556,2540,10442,11409,4656,11795,20519,23897,5303,11984,4292,4634,10559,15378,7846,9583,6233,4984,6075,11889,4875,6670,7255,10195,845,8859,16232,8839,3339,4131,5265,7637,7521,3029,12266,11888,13931,10002,18798,20545
"WASF2",20472,24731,10038,19407,7806,17538,24912,17244,28269,17426,14530,21276,18682,22819,22447,20378,19547,13470,23295,21815,22088,19512,17500,23858,16039,20892,18962,11933,14456,14523,16903,13209,18984,17423,23834,21486,19531,23299,20942,25615,28803,33438,32868
"UBA1",16612,14828,19558,20401,11606,25682,23413,29515,13161,16299,12545,20547,19689,18837,21048,24066,16215,24172,29648,19694,23376,27661,23342,25426,29380,20160,12323,21383,11537,12726,11385,18746,23986,18327,18168,10610,29859,19002,17036,17790,20628,23505,20786
"EGFL7",14288,23117,2345,23462,204,14323,15263,18097,17824,12656,10538,12680,15942,12019,14543,20175,15516,17415,15959,20366,13770,11945,13272,16076,14724,10752,13269,395,13478,15829,10689,16666,13843,11644,17262,23529,16333,21577,23515,16710,22277,17323,18199
"RPS5",30744,20202,21390,16560,34503,20042,22215,29131,17438,14370,16939,19152,19814,21407,21726,26218,24668,24432,28200,27161,18577,21952,26943,22122,25326,26374,20133,20984,28468,20330,18225,17525,21143,12523,25012,39506,18479,16738,21529,19115,20405,16305,18102
"PDIA3",22693,21967,22015,27534,29717,18015,27776,24396,17815,19560,12651,20176,20905,20596,24093,26794,20617,20446,24132,17239,27438,21094,17533,28720,25513,28180,20686,18181,19065,19142,14628,13325,17947,13273,30305,18795,18876,30537,27195,35006,26041,31026,25734
"S100A10",17692,15859,13067,15106,10383,22062,10905,29914,11921,8188,8542,10553,13277,8986,9672,16099,10777,14065,17751,31786,10827,11801,7739,15540,18186,7863,11996,22339,15355,19535,11209,15336,11284,14027,18189,19995,14069,17183,20901,20637,15710,14937,16677
"CCDC152",53,1212,223,195,1977,14,568,759,1641,740,235,49,2938,204,83,999,3494,55,3386,2770,108,37,627,725,392,564,926,1409,112,3492,3297,197,94,3,424,202,207,123,250,164,3496,23300,26824
"PHLDA1",5760,13657,22361,11104,31859,6419,5227,3687,10497,6428,3182,7565,4587,4500,4755,4091,6247,4701,4697,2261,5294,5197,4989,4546,7867,8176,5095,7518,5570,4448,2688,7621,8022,7036,6395,4620,10188,12665,8262,10496,14181,9355,6172
"LAMP1",17610,31776,20556,37740,17844,25136,25716,16417,31072,31113,28764,25083,20447,17871,19731,20973,25003,17890,17485,19424,24500,20898,17248,25565,26513,24604,21303,14786,19892,24171,16686,14326,19295,21549,23204,18330,21419,24456,20737,24969,24245,32586,31108
"DCHS1",9527,9222,829,8613,3213,14579,12933,4443,17540,25616,20050,17194,8956,10697,10226,8159,12756,6684,6485,4841,10915,14702,14228,9233,11223,12668,13982,16,8635,12625,12227,7458,12696,14119,8063,8617,18941,18190,14552,20195,9755,14456,17460
"PGF",5292,3258,1700,18661,467,1740,3307,3449,2180,135,280,11730,1074,7701,4772,487,85,525,467,4120,5842,3739,373,13209,4435,12985,3521,233,636,715,650,931,4377,2558,22285,11747,7844,11599,7669,10240,5585,627,1351
"UBC",25719,29540,27789,33203,26419,32817,32069,41613,24424,32778,26015,28734,27405,24909,29798,37092,29714,32993,24656,37620,38331,34886,25290,30855,29355,31814,26740,34489,31787,32991,16384,37632,33652,34328,24127,16628,38249,27362,30784,32776,31368,29948,32239
"ESYT1",7176,13289,8242,18018,9089,21047,18192,28983,12929,18261,12292,16767,15095,14115,12410,16577,14813,7747,18939,29161,14563,18459,15581,19884,19686,12313,8725,9256,12161,12925,5884,18122,16917,13919,11218,7619,24270,11931,12624,11358,16872,19146,17715
"MICAL2",7859,18248,7676,13919,8453,19332,12499,3645,4733,15332,10654,12741,7341,14844,12443,8068,11971,14671,5754,2278,17908,10316,11797,10909,15921,9589,5071,5505,8542,19717,9383,18248,20898,15229,9382,6183,20756,12509,9513,10085,15212,16890,25133
"GANAB",20688,20083,20215,28135,16796,23437,35160,26322,21642,26070,22252,29467,27688,25768,24071,28465,26264,19403,33667,25813,31851,28727,25771,34024,27229,27353,21815,22502,14321,15942,13616,16030,23694,19128,19927,15706,24190,24710,21798,26456,21950,29745,26885
"FAM20A",10305,23508,10439,11696,6490,9144,10385,9148,17136,15078,13703,9362,11151,7859,8999,11097,13343,7645,9172,6941,9300,8626,8847,10452,11218,12548,11497,10653,11361,14858,14249,8062,8476,9304,12286,9399,9654,15638,14176,16799,19182,25372,33818
"SH2B3",17092,11501,16454,22697,11718,31228,11705,7361,8414,9697,13210,18059,7317,12952,13343,7563,13026,10073,6802,7830,12419,10002,9464,16135,20290,21048,17217,7775,20726,19432,9926,7689,12664,13295,20164,15522,12270,18870,19564,16481,17120,16430,16391
"IQSEC1",2477,10354,3447,2300,2671,9847,4741,3558,12655,13309,11518,2727,9510,2479,2985,7423,12397,4388,8174,3519,2598,3464,4940,4481,5186,3956,5585,2328,8870,11364,17249,3574,3700,6592,1904,1954,2435,3111,2957,2878,10953,17763,25971
"ITGA9",109,1885,36,186,67,67,1083,2378,3771,7708,10320,39,2754,117,141,2826,9893,127,1715,3133,115,100,1699,791,202,381,967,89,710,30139,3824,309,126,141,144,539,164,76,152,91,3572,6089,11552
"DUSP4",12139,9526,24369,8318,19987,8510,2574,1457,4395,1546,12291,2334,549,873,714,1121,476,1498,828,1517,1256,1272,840,4884,7750,10278,8346,1928,11302,3445,7389,2334,2500,2446,4582,7303,1295,7802,8754,8213,9005,4612,4188
"SEPTIN11",12940,15993,25929,14372,26173,10537,13737,6937,20659,14139,8688,12159,11105,11919,12563,14438,8982,10714,12744,5913,10169,10067,10228,14101,11646,11660,9573,23342,9381,16806,15230,11515,12921,13219,14539,10008,12467,20194,20971,21739,20846,22534,24536
"KLHL4",3218,6097,235,1775,171,3448,3624,170,6762,19068,19665,1741,5552,1227,1527,5201,11390,5127,5468,247,1307,1218,9569,3013,4622,2098,3067,148,5025,17924,11935,5041,2228,2624,2594,2897,2129,3688,4703,4912,8155,16018,13456
"BSG",24884,19778,37356,29759,24860,28114,25326,29383,19904,21263,22319,31978,18557,23738,24890,24993,23421,21877,21888,39230,29354,26432,22535,29166,36081,33218,23021,21025,23494,22603,16103,18899,26172,21266,27067,21643,28359,31135,32150,32016,24124,28305,24324
"H3C2",5521,1383,432,3649,1262,3549,7080,23283,708,2390,2042,2279,4334,4783,4066,13083,2701,7761,14809,24449,4619,6413,4932,7130,964,2205,1937,2003,2405,2176,2194,1977,5435,378,5080,7779,7927,7480,8017,5658,5717,2775,2512
"LGALS3",2425,5250,6962,4669,19015,7558,4175,20736,4791,5815,2721,4104,4110,4148,4892,5544,7366,4901,6383,29627,5550,6327,5457,2963,5596,4349,4037,11403,6975,5522,2538,5850,5163,4949,3459,5527,5313,1393,2117,1276,3746,5887,5790
"H1-4",6395,3510,1304,4123,2818,6171,11331,25160,3899,8953,9779,4225,10606,8192,6314,16648,11841,10020,14100,28177,6949,9196,10052,8552,3860,7833,6781,3322,7378,7883,5797,4095,7109,4187,5499,6892,7857,6200,6994,6683,5404,4152,5996
"PTGFRN",5950,10377,1831,1930,352,6798,8141,136,10364,7294,5238,4099,9194,1105,3481,7839,11748,1443,9031,206,3487,1071,9995,5771,4642,2768,4422,2926,3431,9768,5917,6883,4198,9606,328,1714,2834,7070,5713,6609,12739,22841,24299
"NFE2L1",11145,31950,21510,24590,11532,13583,18364,9357,30380,18815,12187,16986,16254,14228,18430,20857,17720,15888,12654,13058,21078,15078,12617,16563,16218,16842,15046,13612,16770,15650,14038,12409,13356,16640,18476,13848,19308,22751,20641,25203,22420,26303,26554
"ZFP36L2",11847,7273,3569,5382,7106,3498,12109,3619,8467,2956,9360,7994,7241,7362,9985,6135,4930,3054,8012,4719,10390,8937,3164,10030,3589,10958,8533,7555,2515,7167,11682,2989,5412,4157,14599,17875,5204,12045,13683,14095,11676,19641,28427
"RPS26",9156,14153,11646,5971,8551,14020,10783,13186,8334,11791,4309,12358,4950,12846,6541,16847,5059,14344,21707,10682,6363,10126,11897,7676,7945,12416,18325,12867,7726,16507,4383,8230,11815,5297,12501,26183,14375,17271,14174,24686,11472,17705,6958
"ADGRG1",5885,3892,902,9596,15,26609,7369,7902,816,4478,4443,13989,2083,9080,6417,4157,6353,11184,1226,8482,9031,10193,7021,8487,19140,10896,10077,41,13993,12031,1947,8038,10648,11880,7989,6102,12572,6242,7714,3883,9794,4117,2567
"SLC25A3",30517,19590,23458,17358,33751,21707,24510,25937,13458,13517,11200,18907,21081,22053,24409,28872,24830,24126,22954,23518,24669,26238,24342,22945,24214,23968,18725,19864,23875,20436,12786,16525,22509,11450,28239,33198,20846,24170,27440,25084,26481,22349,21561
"PFKP",13943,11132,14524,15777,5877,12985,16528,10837,5176,6536,4683,19742,7677,23602,20497,14846,7075,12238,10206,9366,20952,18807,8587,17644,15286,18430,11944,9555,6856,4831,5800,9103,19452,11072,17920,12887,16351,19017,13131,17395,17670,9800,7820
"MYO10",17773,11484,8858,14754,5663,7780,15818,5424,8597,9836,8127,16331,8589,14853,13942,11626,5573,7804,6449,4696,16048,13344,8776,17217,10243,16072,13442,3759,6765,4209,6781,5595,13155,9120,21843,15113,14189,22851,19536,23418,10941,11651,11022
"MYL12B",20723,34135,14524,20153,15691,14743,22480,23208,33509,15997,9669,17692,19508,21920,22146,25856,18365,14338,23194,20353,17318,18236,16361,21111,17753,21753,16054,18482,15071,15573,19339,22321,18130,18602,28210,33310,19505,16980,18160,20374,17814,26113,22822
"ZMIZ1",8082,6487,7483,5835,6762,9461,8881,11206,9234,12909,25636,5949,12473,5251,6361,10324,22931,6084,12361,15366,7565,6065,9258,7454,7156,10078,13688,4878,12252,23259,16196,4812,6400,6146,5979,5965,5488,7566,8133,7251,7939,14216,18889
"EFNB2",9933,4975,2518,4152,9291,3824,11420,336,5914,5759,10040,3068,7429,3215,4869,8288,11766,3650,5161,525,4599,2400,7042,6272,3054,9302,4723,1787,4018,24046,8489,4313,2109,4694,19357,13980,5411,13497,16168,14943,6253,9663,13356
"ASAH1",1119,7608,6055,4705,5373,6496,3826,1931,6246,11781,25297,1901,3549,1287,1993,5221,9778,3505,3987,2473,1823,2517,5402,2233,3051,2980,3899,2974,10391,24285,6781,4195,2063,7040,1994,2621,2282,1184,1173,1792,4788,7334,8938
"FLI1",15184,5435,1271,13152,782,15093,14696,14171,7825,12817,8176,9011,13551,10080,15020,18321,22578,17758,18149,17624,11625,13082,18428,12829,16349,12562,15290,349,19493,9608,9912,9297,8921,10506,14028,11017,8809,20051,18828,19714,13156,11465,9540
"PAM",6884,17988,14498,12541,12728,11251,9954,6276,18444,13611,10540,8974,8843,6528,7282,9159,8968,5881,9482,7125,8450,7006,8469,8401,9410,9521,8594,6451,10906,12303,8648,8909,7492,13519,9692,7856,8017,12711,12171,16187,21674,30809,24137
"PTPRE",4691,12578,875,4824,32,2480,8361,5375,14898,13492,11910,3411,9886,3831,5377,11994,14385,3665,11249,3741,4216,3540,6142,7825,2667,4490,5999,89,5056,7626,15965,3038,2046,3262,5038,7132,2905,5710,5838,6229,12805,18673,22114
"WNK1",11509,20379,15718,17344,8114,20778,15498,15796,21662,24700,26936,13891,17964,12158,13902,20094,27870,15114,18411,18295,15099,14232,13907,17535,17748,14787,18873,14861,17572,29259,20895,10736,13137,12632,13690,11476,14242,15210,14434,15558,21265,27073,28501
"HEG1",5130,5626,7989,5089,4084,5241,9999,29241,4011,4171,3975,7973,5363,7373,7293,10317,5229,4822,5638,26395,7369,7301,5137,7849,5976,6346,6195,14077,4413,5341,3590,6579,5256,4727,7446,4859,6979,10693,8290,11629,7432,7560,5401
"LAMP3",265,12936,94,1186,443,433,2564,7558,25081,6283,996,2748,8563,2545,2495,7142,5917,1520,12931,3506,4246,3155,443,8982,1732,1246,5017,13,4172,556,7810,3045,1468,5644,90,1804,1599,551,430,928,8822,14456,10031
"CEACAM1",265,10265,2,1225,0,988,4789,832,16828,11893,8681,355,11603,796,826,8306,16755,1575,8115,427,680,468,4339,2183,955,789,1599,3,2339,9780,5903,3692,613,2743,318,671,676,184,200,255,8502,13491,13207
"ITGA1",187,18650,4221,4183,1899,1766,2989,2927,5681,6101,3647,1042,4987,508,962,3136,2497,982,4309,2682,683,1030,2550,3560,1581,2287,3106,2265,4589,8745,10975,4667,1110,1158,1858,1169,405,284,493,637,10490,15987,23806
"SLC12A2",1722,7327,1506,9882,908,9205,3671,2691,9653,2903,1808,6879,1463,4383,5499,2342,1290,2879,2089,1784,6179,3155,4332,3245,5377,4856,3181,1749,4350,4819,1098,7065,8471,28308,4387,2115,20090,6248,4511,4826,9636,3932,4409
"ENDOD1",2483,2662,3244,2775,4588,12403,4470,5921,1526,8870,14186,2284,3475,1124,2399,4700,8538,4101,3549,8869,3209,2287,5704,2818,5265,3995,5152,15901,15915,27897,4217,2638,2693,4845,3592,3020,2493,4203,5358,5393,3695,7328,8197
"THBD",524,4846,2306,3548,1494,5626,3570,24692,2408,8653,2163,1627,676,865,1683,3691,8252,3704,727,19896,1407,875,6536,941,2878,700,1064,189,3620,14440,911,8656,1542,1906,925,2508,3965,1609,2203,2303,4150,2061,1800
"TUBA1C",9606,9130,16063,12338,16822,10915,10517,17926,5647,7122,5929,9331,6394,10260,9629,12090,3796,23113,12771,10526,12031,12795,10712,14605,8098,7659,5025,15956,4478,6160,3729,16628,17363,6486,10598,7752,25058,14390,16570,11090,14516,6724,5115
"HNRNPK",27398,27773,23317,29529,22921,25249,31092,36110,26576,23598,21641,25107,25854,25618,29714,35641,26358,31443,34774,29399,31176,29695,25453,34105,27870,34688,30970,21883,30776,27683,21436,23170,29475,20781,33986,26209,30753,37198,38617,37247,36903,34359,34421
"RPL11",25307,26208,20466,16753,25274,14206,15148,19987,26886,12715,13250,12614,14292,15243,17268,19384,19407,17856,25955,16227,14941,14598,13925,16658,18056,22733,25561,20610,28800,19082,19346,12921,14790,12480,24447,28676,13006,18168,24255,22969,25100,22237,23347
"RPS24",28078,24614,19826,16741,25434,17030,15743,20802,20651,12737,13141,16092,14092,16499,19400,19605,20961,17877,19575,18089,15577,15535,17682,17320,20359,24445,21846,19760,30656,20711,19149,14861,19925,10844,26654,36274,15727,19403,26019,23849,25105,21035,20860
"ZMAT3",17059,16466,11674,11673,11269,16177,11830,5143,13373,19459,15930,14527,5635,10691,12605,7625,9621,12401,6042,4674,10376,12225,18806,9652,19426,15412,10677,13155,20943,21597,10276,14001,14374,19658,12697,11019,14321,22854,19289,24959,21586,19737,14870
"SNRK",16396,7466,1933,15514,1443,17720,11148,7888,9141,10599,10299,16099,8632,10705,11179,9795,10787,11832,9692,7885,11215,10376,10822,16612,19437,24716,19134,1169,14904,9280,9155,5862,10712,13894,19210,13337,9160,16895,15291,17761,16949,14379,14584
"MGAT5",7076,14088,3065,11231,3945,12490,7893,6639,7523,11561,17809,7715,8737,4316,6633,7062,9477,6585,7919,5446,6786,10680,6715,10914,12045,8409,9287,7932,8458,12478,9172,5607,5924,9486,6315,6176,7470,14194,9725,9153,16449,26674,26888
"KLF6",10704,16377,9741,18577,15283,9588,16823,16098,16465,6941,5527,19553,16458,22686,20729,16903,11662,7195,14777,16706,19585,16012,9789,16698,14413,18122,11792,9216,7014,10753,11220,17627,15435,13685,18291,13312,24680,19898,20129,20341,25906,20644,21529
"ACTR2",21449,24979,30369,25350,20167,21289,20177,25397,19441,15619,16071,20868,14553,17932,21397,18220,16598,23045,18135,17859,21861,20827,17334,25005,23611,24076,18440,30310,23416,25093,15798,18901,20426,20414,28122,17831,27119,29740,27830,32071,32928,30414,28635
"ENTPD1",9413,660,826,3267,463,9700,2362,3493,400,360,444,2218,480,1334,1903,2769,320,7152,304,6560,2657,4067,355,4806,5817,4174,7688,619,28002,332,4060,566,1294,2265,5802,6124,1419,5569,13706,7986,717,524,761
"KIF1C",16214,30636,17368,22513,10669,19522,14413,11111,27047,21488,11677,19892,13571,11498,13242,17866,19475,13161,12964,13209,14617,11118,11004,15583,22395,18042,15209,11487,20117,24372,15645,8905,12612,10579,21345,20324,14309,17775,16200,17421,24049,22056,19725
"MYCT1",11619,26125,650,12687,1,6676,10081,13083,12790,12219,11818,8885,11930,8300,8177,11785,12832,6721,14252,13714,8703,10499,7877,11619,9090,13145,10192,174,8558,14943,18343,14425,10286,15464,10386,8180,11463,13610,14244,14859,16740,17916,21675
"TEK",7005,11520,234,7002,8,11598,9263,13427,14720,10450,17873,4854,5718,4583,5417,7182,9300,5462,6625,14332,5708,5024,8368,5544,7145,6263,7393,1453,10602,28066,7180,7206,6102,9340,8278,8882,4836,10650,13742,12093,9759,13098,15370
"SH3PXD2A",2396,3631,26117,4734,12345,9110,1593,1221,1483,4599,7473,1745,1052,1328,1400,748,4090,2760,679,1603,1570,1686,3228,2051,5153,3645,1876,11559,6135,19399,1718,3198,2429,2070,2823,2211,2773,3221,3022,2235,3918,3764,5191
"SEL1L3",4079,3210,739,8580,171,13140,8063,7220,7111,15964,10313,4877,3939,4828,9523,7277,17015,11639,4023,7740,8856,7426,16889,6716,10354,4723,4072,203,10602,24010,3729,8467,7947,19053,5485,3789,8622,8929,8540,9758,5669,9904,10294
"GPX1",23806,29390,15340,29157,20651,24036,19523,23085,20127,18638,11496,22618,17767,25333,22322,25042,17820,21426,20875,21128,18582,22111,23632,27074,30854,20903,12665,15682,19243,16873,14327,22685,23444,15361,23476,32087,32948,17745,23892,18563,27021,22162,22306
"RPL34",21197,17372,18344,13472,27411,12743,14902,15719,13076,10620,13193,13214,11541,12106,15344,15857,14919,14631,15021,16545,12998,13007,15355,14267,16095,20881,17014,14965,25765,15679,17750,11223,13249,10179,21008,37409,11785,15661,20217,17896,18619,17239,16194
"DAP",15535,7723,12923,11475,20968,21991,6969,4804,6151,9702,7413,12083,7402,8960,10448,10347,11082,8398,6180,5899,9356,7380,8874,12376,26041,13587,15203,10199,22447,9574,10702,4665,8523,8935,13986,12171,9542,15577,17956,13385,7822,7357,6906
"LDHB",19559,6824,15506,12308,21122,12752,11519,7918,4027,8390,6558,12134,5525,12698,14840,13264,7788,16551,8083,7496,15679,15130,12288,16040,18019,18895,12511,16828,17743,7269,6127,7323,15502,7367,19572,14410,12682,15904,18859,16998,7262,6072,3260
"THSD4",1951,5166,928,7439,2968,16562,4374,2140,3201,24657,13275,7746,2178,4217,5357,2817,11966,4937,1620,1816,5309,3738,7491,3408,13030,6834,3170,4283,9919,14236,2657,5962,7020,12789,4188,2129,10398,3558,2365,3118,7624,9901,9747
"GAS6",3024,10848,25168,2780,17654,1539,3913,815,16258,1914,2900,1855,4581,2395,2347,3055,1535,658,2485,1673,1992,2523,1226,3272,1813,3913,5904,4350,2098,2163,7448,1252,1876,1310,4465,3358,1509,4011,3192,4638,5472,7663,9861
"ACE",9567,1302,1816,2568,207,773,6501,28,4201,356,59,5720,6656,3598,6651,3835,750,1231,2557,147,8522,5959,1714,6355,4503,15380,12090,802,745,47,1673,145,1893,952,13665,11217,866,15695,14677,14215,1416,717,1676
"FGD5",15124,10459,875,14920,12,10777,12176,11913,8855,9350,7582,14102,11565,10642,12346,12544,10276,7912,10099,15776,13201,11484,6638,16804,13502,16377,15600,84,10991,8770,13574,5528,9335,6593,17649,15044,10984,18671,21688,19427,13203,17286,18338
"CALM2",15865,23266,29066,18351,30906,21553,15195,26335,14321,11431,9865,13793,10748,12419,16174,16436,12407,20380,15501,18196,14908,16384,12304,15362,19218,15093,14590,16804,27078,20670,12798,17431,16889,14009,18934,23268,19034,18321,19951,17959,26187,16431,16202
"RALB",13694,8146,4163,7782,3475,5434,6341,4831,5841,6946,7374,7097,5095,4128,5587,7147,7686,5491,6689,4377,5703,5203,5764,11099,7898,9259,8533,3384,6755,9728,8545,3776,4504,3963,12971,12509,5480,18199,23825,23537,11415,13617,15370
"CAPNS1",26993,26997,30996,24905,29919,32386,28300,38492,24164,28032,21401,30150,26568,26615,24183,30947,38119,21311,38098,39879,28384,26963,24654,28986,31696,28096,24997,36818,28267,30731,19497,23043,26841,19909,27247,23743,27461,24000,27498,25190,29550,32636,29694
"ASS1",389,942,847,65,31729,48,599,3929,1489,140,68,111,153,118,350,233,499,135,272,5034,411,316,698,91,95,241,326,1212,143,17,88,221,176,286,122,133,178,381,396,568,964,588,838
"ATP5F1B",27589,26044,34835,27951,29811,27457,25785,34994,19517,21799,17407,24162,22682,24172,25970,36267,28309,36591,30685,27440,25719,27601,27385,34879,33241,28690,21139,31442,27017,25889,15691,26515,26960,18155,30939,25529,29566,26927,31488,27168,32608,27262,24617
"MAOA",1012,2447,1362,836,743,1662,10173,762,5665,11183,5368,2026,11046,2808,4822,17327,21878,5578,16364,724,2595,3405,12007,3330,2062,2144,2419,4915,3898,5903,4584,2882,2564,2575,1100,2822,2305,1470,2222,1447,4943,8579,8011
"DDX3X",16668,17170,11915,17411,9970,16930,18500,18563,22638,11755,10334,15023,15181,11034,21601,20291,10515,19579,15968,11051,22278,18491,12612,15946,21592,24280,18632,11002,16135,12368,17171,9595,18574,19618,21804,10778,19758,25822,22071,25562,21663,24537,25333
"CITED2",3455,7077,12794,7276,20608,1091,4630,6610,3244,1947,840,15553,3472,7361,5292,7070,2175,3072,3636,4120,10662,7975,3480,8312,7070,7300,3915,23178,1802,688,1797,9132,10996,3285,2851,2372,8495,4584,3960,4618,6332,4303,2227
"TSPAN14",12851,18702,7154,24056,9831,25494,16666,14248,14202,13907,18955,22791,16722,14945,17391,16384,18450,13461,16587,20473,19003,14338,11748,18702,22899,24012,20574,3042,22973,18103,14936,19281,18956,18143,17161,15596,14938,18938,15295,17233,23897,26687,25136
"SEC61A1",18223,20618,27734,24436,34681,23740,24715,20746,17475,29490,19057,26752,21940,22324,22492,24874,26682,25052,24807,19406,27654,24463,28308,31851,32666,27288,19669,37098,19500,18660,16861,24778,26321,22161,21657,16866,32664,27568,24731,26646,26172,29285,25821
"IGF2R",5748,14718,21236,16182,11330,18691,12710,6087,15592,23482,18038,15489,10947,7353,8800,9117,16598,10932,8539,8060,12304,12955,13942,12821,12122,14384,14196,11687,9963,8362,9248,13038,11174,29029,9234,6506,13472,7944,6303,8440,9980,16478,15022
"CTNNA1",22641,25680,20693,27534,12352,24788,25814,36320,30058,23462,17916,25866,23934,21630,25231,28933,24562,21293,23594,32737,28797,28406,21560,30048,27615,29403,26275,18555,21590,20738,16301,20712,24640,22377,26542,19770,26639,29704,27933,32550,28137,30497,31567
"FAM102A",1571,4236,1277,2069,2551,2407,1751,368,2216,4333,14921,1742,5449,745,1120,2874,4504,1035,5196,354,1107,833,1767,3651,4145,3273,4712,1612,3338,19389,11963,1414,1748,899,2139,2998,1138,1523,1316,1217,3399,12627,20839
"ITPRID2",13597,12885,6444,18201,8552,11688,8871,8450,6449,8266,4974,10035,6443,7413,8222,7442,6943,7323,5262,8141,8349,8690,5929,11007,11418,12956,10007,4996,9526,7312,8494,6967,8712,8621,17808,13535,8859,22595,25640,22819,12113,13139,9830
"NF2",9250,20405,10630,14907,7731,9577,12411,7430,25945,7682,5109,11196,6382,15356,12197,8404,5793,8848,8704,5041,11732,10717,6976,10599,10218,6186,4807,10463,4827,5226,5420,15224,16100,11202,8701,6303,23708,10768,9487,9058,15343,9572,8663
"DOCK4",11892,6850,1959,16088,1785,14198,6756,5253,4689,5312,5637,15506,3560,7370,9451,4490,4407,6771,3518,5334,8522,7478,5569,13107,15959,15461,11395,600,8079,3669,5096,6502,8773,12076,13068,8182,9743,18364,16401,18930,9093,7082,6043
"RAB11A",10497,13754,6648,12838,6134,17835,10426,19140,11883,13954,14531,11910,10182,7574,10138,12920,15818,14029,11921,17257,9071,8551,12121,11234,17617,13930,12773,6063,25401,25209,12718,9986,9213,11181,14733,14203,9639,14541,15603,17719,19206,21245,24089
"DBN1",19012,15691,12621,18328,10458,15927,14958,9719,13203,8806,8157,19479,11385,17533,17774,12858,9460,13280,9360,8919,20096,18637,10944,20686,22573,21121,16258,15707,14075,11279,10241,14660,22692,8340,19096,15799,21337,23043,25594,22058,19072,15878,14466
"NAV1",9383,7552,19077,9881,7653,11082,10191,5704,3020,8308,5837,15395,3360,10196,10563,4818,4460,7723,2151,5814,10510,9363,9586,8499,13582,12471,6453,25232,5020,9987,2893,13485,13061,9130,13549,9508,12968,16518,12468,14235,7669,2935,3130
"ARL6IP1",7246,9745,3569,9309,4476,5489,16611,13914,11704,12293,8255,6579,19908,8279,10127,19542,15521,10292,19187,18614,10327,10502,10779,11496,5534,9423,9280,3622,6653,10488,8616,8744,8461,4752,9484,10818,11035,11786,14805,14420,16607,20188,21247
"TXNIP",1300,4659,3828,1730,156,3720,6334,13389,4286,5881,15213,1003,3613,1733,2558,4946,9916,4904,3656,23559,1969,5495,10859,1783,1275,60,2931,13438,2857,12154,1712,7793,1390,7526,1035,1319,2572,4228,5225,5742,7026,6563,6472
"TUBB6",13209,21915,13307,22422,14984,20762,17129,23717,17639,17797,14099,16772,14326,15765,14740,16947,13317,22566,23061,15287,18536,20017,14990,22371,18041,14906,10201,14561,11197,16792,11093,31503,24213,15100,15088,10884,26024,17699,18380,15235,27753,14511,14123
"GIMAP6",10757,7698,514,10208,0,8396,8536,20609,6525,7542,5119,7985,8509,5620,9420,8981,8852,5970,10025,22083,8417,7782,6547,12256,9332,11497,9562,6,9411,6680,6175,5029,4852,4337,11572,11539,7462,14282,16119,16216,11780,13209,17772
"RPL30",30627,23343,21911,17236,31171,20074,21734,25007,22279,14966,18338,17798,18381,18832,20354,21258,22949,19065,28606,25109,16884,19061,22012,19096,20929,26090,25207,20105,28354,21555,20527,16219,20520,14834,24980,38983,17132,21859,27544,23297,23325,21436,23877
