"","HUVECS","VM015","VM024","VM038","VM040","VM042","VM043","VM048","VM053","VM054","VM055","VM056","VM060","VM064","VM066","VM068","VM071","VM072","VM073","VM081","VM082","VM083","VM085","VM089","VM090","VM092","VM093","VM099","VM103","VM108","VM110","VM111","VM113","VM119","VM124","VM125","VM127","HUVECs_2","HUVECs_3","HUVECs_4","HDLECs_1","HDLECs_2","HDLECs_3"
"IL6ST",42442,67357,33231,36731,28010,25690,124035,32615,101811,93289,46014,41482,95474,61605,83206,122064,118000,46706,76039,24188,77616,38502,87530,53757,37254,66596,49081,51643,33863,40845,85838,59383,49951,46033,54539,47954,61427,60927,67005,78557,91768,129090,122604
"CCND1",16179,102224,147512,47108,75588,43726,22957,30013,69526,39483,12152,27785,27281,16241,14232,38189,20637,20708,28287,28952,13854,18838,20864,18595,45598,13379,10773,100412,19518,17171,17865,43650,29615,51348,13700,9788,51526,21728,18498,17114,84143,61182,36416
"S100A6",52972,55356,100512,62329,166148,104169,27563,89548,24408,34942,25790,45703,26423,42811,42690,36474,34266,57210,39370,92527,36169,38674,49354,46159,84902,41302,28102,85992,94258,53759,20131,78231,42721,46430,47159,72157,50079,29769,35777,22256,59650,39782,26052
"CAVIN1",91994,59917,46043,97548,30904,106149,71558,122385,36316,57918,35870,108394,58105,80018,82062,69348,61432,71133,61478,161757,97327,93857,56144,112194,124368,94297,66492,129370,77153,44487,33353,52324,74211,58869,96201,63759,82531,99731,92677,87248,63547,53350,50164
"SPTBN1",40950,81324,28830,70510,14215,90402,61383,80215,116628,140470,85341,60630,82584,40928,48123,92015,108207,72779,70103,88530,52952,50263,58297,73260,71843,57437,74570,54235,102201,101856,84577,31666,40885,58016,78725,62618,59402,58003,50064,67113,84643,132503,147794
"TIMP3",2077,10121,11113,480,30520,4263,14822,27095,47538,40643,120162,5913,47112,4188,2174,17111,57344,2263,64789,66423,1402,3009,7503,13346,11888,5301,9734,14662,6509,71500,54440,4943,6530,12613,3389,2951,5613,904,832,914,22178,57176,94667
"PLAT",1914,4453,16602,10212,11145,77198,2923,2154,425,42851,46964,7251,1467,1303,3049,3045,13837,30732,808,2184,2709,1527,16302,4175,109005,3148,1992,12249,48111,113439,4214,74451,7002,29950,2562,2155,4523,3111,3830,2936,1510,1177,1697
"WTAPP1",31563,224,5736,145604,10408,55288,9837,13238,12,580,197,51853,33,101,10471,36,44,18904,88,146,15175,12368,2339,247,25841,65819,31976,1153,26637,635,1703,2918,34496,16601,71330,18492,42056,26205,11058,19961,2094,26,133
"PLSCR4",6975,58050,867,9093,273,12130,38030,12143,75471,83473,43926,9305,51109,10605,15100,54285,84151,20059,44500,8045,12851,8203,40016,14251,7756,11731,19654,3142,24766,27231,61227,19914,9769,22353,10243,14170,11658,8279,8146,14396,67915,95904,89825
"COL18A1",44146,43751,31846,60609,7611,81014,42838,8190,38613,19880,51867,60242,23456,27464,30416,23767,24969,22063,8005,14660,47522,28871,17839,40752,64461,114127,74616,4307,62419,52257,32370,7983,33812,19399,58078,43022,27192,99514,82867,91647,46292,67566,79239
"RPL13A",125736,92693,94676,74326,157557,72278,87420,76823,91301,60572,68059,82295,81718,70055,85017,98817,108931,67440,96678,81022,75028,69123,89605,83822,89370,128642,103039,69072,124107,94227,94565,50507,74902,46828,116505,183161,56465,91153,122821,106721,101428,98642,99040
"ITGA5",73975,51661,62863,93144,20401,97038,103335,46967,29308,62417,45693,101802,42973,87378,88768,53428,42705,56725,35345,43194,98653,92016,54579,95187,100595,98300,57002,48756,60108,47426,28406,100771,86074,82399,95355,66809,131540,98368,95072,99141,62956,55472,51468
"FABP4",8837,26014,392,10690,50,130,32131,110,117448,13436,6479,9265,58584,13827,10129,46566,18990,4834,49751,475,8297,6369,9192,54058,6651,17308,37473,14,2850,1488,62272,4327,4010,5541,28125,73597,15735,3987,4133,6991,30898,63411,55579
"CD93",35298,11968,4733,55576,24,69911,46761,41081,3376,9028,11644,64438,8407,44176,47754,8621,7032,29636,3625,42227,59437,59324,15865,47394,54984,55446,26870,37,29535,19602,3387,9249,37856,34156,53664,21301,87097,86856,66138,88920,25708,9585,8218
"ENG",49931,37200,24099,65941,6942,38879,95071,104081,67155,95711,44967,94201,53974,95986,83235,79151,71393,49697,52308,104004,91912,109455,73803,98225,79797,94176,49004,37014,28200,34051,35357,39934,71894,42872,61098,45666,84782,53004,40568,54102,47872,51489,38663
"FLNB",58174,61191,25013,78374,5428,75357,76354,112037,63188,78237,49776,92433,50975,82833,72551,62415,57100,62917,56699,99344,90139,101814,56201,75633,74270,44073,47679,8595,29589,27320,22281,70428,80291,79048,72657,48075,98656,98009,71207,107645,51544,45943,37021
"APLP2",43317,77573,47217,109144,21486,55051,51932,25000,102931,41768,34740,53756,61174,41413,47240,59461,41711,27247,59569,35215,44413,35415,32958,62709,85734,60083,45047,7263,46957,63771,57599,22465,35628,25318,66223,49321,30440,69289,63925,73160,107117,113500,108546
"CLDN11",14810,30747,12920,79735,43398,52044,39700,55008,23064,21599,5685,68721,14656,80532,73858,43704,18268,78404,33690,41343,64163,65895,46191,40691,96087,26995,20185,10890,21340,11316,7791,58677,90410,45715,30002,40857,88226,30324,21751,28812,26986,27989,8454
"HHIP",48658,50367,622,22530,12,1785,71798,3501,109098,45751,6347,50281,30381,45660,45290,81389,32460,13865,46156,938,36512,29451,49213,40969,12707,11516,9809,1146,1886,2139,21323,25334,35656,36529,49092,41088,58135,57228,44518,59385,52468,55639,23794
"LOX",2631,10549,78344,11500,16295,7518,7344,1639,6950,731,288,13109,4734,5081,5328,2148,454,3011,4417,3489,7391,4274,3037,9303,11693,11896,10656,145075,1892,519,3933,4397,8345,6535,22948,7454,5266,7188,6422,7461,19307,28665,41810
"CCND2",2115,99199,12083,24415,26591,11026,23098,425,70219,1456,5486,12519,17138,23613,17155,25309,448,10648,23246,686,2478,6455,1917,22606,5619,10173,11381,47903,6089,2512,20853,29948,44293,32843,1905,6090,23669,2398,2296,3621,89498,76787,50834
"CDH5",42618,65416,4410,87872,0,54352,75268,45351,72471,38396,32257,87384,42393,60890,68404,45894,42527,43644,40595,48807,75375,67845,36184,75329,81047,73333,56133,28,35641,38175,29428,35188,63339,68943,81829,46125,86533,96155,75723,103862,73012,64719,55888
"CRIM1",30217,82837,18334,49652,13880,20702,69514,76694,97186,40837,8374,76714,33764,64919,79317,54706,23412,36757,36695,66720,86005,77839,34968,67440,40907,38137,37639,34401,14777,6529,13428,52404,48688,89286,41571,28988,75452,52436,28882,62593,62577,59911,33820
"TMSB10",86846,87700,95078,70648,142910,97530,85641,137895,88075,53994,39426,64407,76143,81759,93158,98412,63116,78232,110198,119977,78396,81348,85146,72401,93472,75770,58152,136426,108780,105800,55772,107456,87185,64965,87980,112079,84954,51090,63232,51448,82407,53194,57923
"JUP",22581,44805,2552,21469,881,30696,45386,7678,41665,62733,79492,40660,77404,28008,34089,59614,84091,23224,83176,8879,31545,32324,30216,47170,32823,53131,61694,102,35428,26883,58897,20167,27668,28607,32854,32082,29162,27823,26010,28817,48323,92856,80410
"PABPC1",114717,86445,110819,81504,79507,62423,70603,42905,90503,39824,44989,65149,60825,54101,66753,62831,74063,53033,83579,46400,66636,56100,55473,66254,74480,78201,73517,75221,63768,56037,69543,31988,62164,47638,82474,79694,49598,105082,119803,114185,104869,114466,112978
"IGFBP7",12775,68924,34784,23137,6484,18616,39478,27370,93923,89639,36394,27196,34577,23726,28526,26740,68003,10956,23807,33887,25415,26142,39047,23796,17814,22123,21996,8215,19701,37187,56561,27283,22333,43972,19724,21627,18429,13664,13726,23766,50654,80114,96332
"FLRT2",17820,41633,1789,15060,2938,13559,34213,2114,74326,76752,53177,18820,36211,15468,19847,36353,79035,19688,32575,2574,18601,15471,62127,18537,14297,13752,19986,1693,19462,43299,31387,24354,20740,30633,14990,15187,21093,32346,35585,42887,51101,86375,76764
"EPAS1",61689,119630,59843,65389,13803,80397,93461,58205,129187,81161,46920,62767,65289,52812,82744,74844,106139,77652,55759,80911,71402,73605,88819,63667,72621,79677,87309,24412,77431,51460,47204,62471,44283,109017,83617,51681,46779,85388,75690,92783,76238,71512,59670
"ENO1",58680,60667,113253,70982,56242,75072,69898,105774,38970,49463,40611,75780,46878,72878,66229,84170,38581,105590,87860,56552,83418,79507,65306,108200,87198,69126,41275,114682,50955,35630,29232,88677,88838,69549,67459,49110,96225,64165,65125,57333,69700,51200,39853
"RHOB",35649,22137,10640,19476,1882,2529,74067,36704,57482,12417,1950,32980,35693,83022,77286,44678,16541,5859,42857,30160,58073,56885,21025,34447,5801,19239,5277,13732,2071,5295,5902,16870,30509,8981,50394,33678,48621,33632,35743,51320,27178,12284,13731
"MSN",69593,71338,47247,99139,30270,103187,72258,93847,45187,60177,40112,98835,50034,78921,85898,62189,50428,66113,70661,65048,92481,85698,57646,88575,104510,69530,48913,41142,56917,44920,34245,112505,91945,77360,70769,51626,118915,70390,69393,63835,83197,62387,53381
"TGFBR2",31692,74838,31503,89098,14343,88889,62813,63306,51648,98444,69367,86085,53252,55034,70444,57808,104490,66234,49301,66751,76084,72906,85333,81857,65902,68810,83687,54898,86143,58107,45879,65470,59197,115467,73532,43428,84683,65196,51949,65104,106341,107870,88530
"PODXL",16448,32918,1552,7967,268,41627,23098,37334,34912,14405,28363,10039,32302,10466,7806,23103,15704,15145,29229,35330,9870,5076,13826,34399,31730,20201,26355,93,44490,37898,74352,27769,9786,31333,32942,31702,21254,27386,25775,28411,40828,84815,109008
"WARS1",9902,52312,9375,22229,15317,17196,52652,35762,91483,64509,10802,33334,61903,41117,59383,72016,75090,43865,69194,35922,50138,33329,55389,32133,23652,17434,18500,10369,16493,12600,27942,39992,32862,40290,14493,11143,36836,12551,11830,16745,33386,50999,39428
"DYSF",22988,44210,6652,77422,20,106244,27824,24007,41628,30117,37263,59137,17613,34004,41651,14332,35996,42761,17468,31603,38450,52749,43210,51399,83946,55308,50937,41,54348,23966,14957,18605,53412,38932,38073,27369,35305,32641,22663,34550,45566,43443,36443
"MT2A",24518,24452,62078,38744,24814,6243,22196,19006,16403,13852,2997,37976,10586,63230,48310,22569,5818,17176,29288,9390,45081,35215,13935,31234,31524,21887,9826,78605,5182,1242,3489,63369,64710,28126,21901,18145,75213,15372,16041,13215,30928,6057,3192
"PSAP",46450,65287,106173,116413,45358,84571,52474,41667,67530,66472,81062,68222,45168,35178,53770,44875,64721,40997,29909,60108,67659,47964,49465,49711,75028,99348,76696,28053,88903,71578,46916,23937,47402,45451,66364,45205,36245,73320,71778,79456,60868,64511,69782
"RPL3",110200,77356,82623,66082,124531,68818,86993,66693,86500,47477,48384,80686,75770,72281,89276,85447,78114,61847,80992,82569,81829,75082,77056,80489,91908,124974,96900,69519,103149,61629,74008,37417,67876,37591,106374,118703,53287,83663,103922,104844,89778,82142,86267
"RPLP0",107383,81894,82262,65860,133798,84054,86422,106538,58929,56471,59012,74411,79222,81116,84374,99683,101053,84930,112201,105620,74887,92218,108764,84649,97235,102615,70879,85546,108048,85194,64762,61023,76230,46549,103392,136266,70331,83582,109135,96917,99796,86713,81981
"TUBA1B",37763,28424,36782,46892,32517,37885,49225,109584,17844,24566,22720,30951,26878,44339,36559,57760,15294,74760,70898,58064,41647,43984,34554,57933,22365,26941,16313,55740,15359,29443,13703,51265,56073,19893,41228,31249,71450,47421,54516,36532,50126,25077,23168
"POSTN",1004,376,348,773,35,5464,40817,127,685,18807,19510,59285,2741,12867,59343,19282,39679,32535,1869,12,48714,32456,21712,27198,50520,47414,52813,13912,44045,1244,16303,1510,12649,6102,43947,19379,3544,4957,7283,3909,2749,2270,697
"PTX3",7928,40566,2714,30576,8038,11872,18268,16408,27149,10939,7421,33541,8513,17331,21466,13039,4119,20259,8147,10345,24083,16663,10876,21721,21767,9137,7493,104608,9211,17718,6089,74244,22325,43688,9042,6955,40756,14296,12028,11659,36790,46328,30920
"RPS3",101896,59188,54850,56629,97416,73454,70314,70454,45995,40536,48218,60683,62971,59028,74873,79716,76995,64100,88042,79323,63126,59896,80424,63409,76074,90532,70364,52690,102888,72968,62285,40916,62412,37915,91069,139031,48164,53981,69216,61739,65782,61047,59483
"GJA1",18432,22886,5759,21665,17057,8357,27927,14020,25106,4218,6667,18248,30986,18004,19120,25977,7190,6228,50119,6913,24947,14341,4184,33769,15558,28963,18123,7532,6461,21834,21316,9367,19794,6486,33096,30435,25359,25138,27135,28085,49255,90920,94225
"PRSS23",36360,79666,14568,53077,13033,70915,25185,38989,50535,76124,21554,48109,12079,36101,28341,28990,29696,38149,15176,35107,28716,22192,63614,30214,60602,34965,15229,21892,72419,37647,11728,50888,50775,71735,36703,45868,61435,37457,29984,40925,67447,57625,39589
"CCN1",15734,38807,24890,29183,24213,2635,67194,34088,55523,27522,3292,49581,47405,85033,54923,55427,24060,15191,59942,21077,62081,52905,32325,45264,24543,28802,10663,43608,2093,1975,30131,44845,39297,32682,25216,20035,58385,26305,16218,35907,48839,41610,23694
"LOXL2",21568,11545,111589,36342,6438,35335,27881,9519,1849,23322,13192,46613,7287,25123,29068,15084,13974,32961,3055,7507,41471,32704,27653,37017,58642,28591,19339,51917,24525,17541,4384,15876,37670,27899,27739,16255,26584,32544,26777,28601,12695,9377,5538
"FKBP1A",68755,111545,93886,91195,26111,91887,44803,43345,54626,43945,38650,64428,29277,48905,57484,35277,38963,42119,37494,32099,56673,48921,50131,52181,81380,63678,47995,30530,68757,49905,51010,64165,62284,81071,65426,63113,61321,62414,48661,60783,77516,72431,60260
"RPL15",94866,66937,73293,54077,104456,60312,68098,61980,63309,47701,61213,58844,55929,48570,61417,64640,69350,50531,76145,69819,60052,57368,63363,60483,62547,93177,78890,54067,90577,75847,71777,42576,55812,41579,83302,126015,45904,81845,102480,101798,87034,80015,86199
"TAGLN",973,1339,22371,2098,4612,1646,4830,8642,1101,939,462,5029,2170,2450,4046,1710,857,1670,1036,1840,4479,7749,3245,2310,3914,3132,828,120561,840,1459,6647,16900,7144,1704,2224,910,22893,1729,1431,2028,3523,1975,1552
"ANPEP",21947,13053,66285,28752,93342,54142,4921,4422,799,5884,7431,5945,5828,7086,9509,4185,4430,10149,2820,1506,6435,11706,9776,6997,27169,13370,4089,51206,12979,7042,4645,13125,13343,8448,12753,8938,17834,23658,21926,17960,13657,5663,7674
"LTBP2",23134,17975,10549,44412,8744,30340,48424,11319,1392,7301,1669,44888,5785,43232,28042,9886,995,14351,1385,18899,48906,62252,14805,24675,46186,33744,7426,10214,8237,1542,1433,19527,64262,8855,31152,12458,57940,39900,28042,33906,13305,7854,4326
"PLXND1",50936,34152,16443,63619,8820,49902,73706,48613,29462,40203,46176,79432,41311,57662,55878,60376,47930,31670,33437,96371,60956,57607,38435,73789,67137,72550,58970,17129,38051,37323,35590,34570,52589,41752,67754,47193,70368,67284,70558,68500,41098,49853,58318
"ITGB4",3724,1135,1583,2912,66,43562,1970,64871,387,1569,5770,1964,12155,233,862,12578,33979,4364,7329,92006,1430,1026,1420,691,11913,3618,7574,49,19914,9665,6994,1493,1403,937,471,3086,146,1121,5995,1388,3185,5547,3845
"ADAM15",12998,12718,7320,36512,4183,43080,17943,73189,10823,8237,8171,23937,9793,15648,13606,17414,12748,27351,12989,102166,18216,25001,17312,26737,41094,21818,20307,4307,40346,16480,4805,13980,22306,15797,24783,16414,23718,21438,23123,18831,24438,14728,11132
"RGS5",54064,278,299,1395,160,20557,334,110,49,374,555,682,140,129,465,221,330,19928,53,119,360,1434,750,635,28871,287,4331,98,23775,646,48,595,391,9827,633,515,1048,58049,70166,49610,597,111,55
