"","x"
"588","GPATCH2"
"589","GPATCH2L"
"590","GPATCH3"
"591","GPBP1"
"592","GPCPD1"
"593","GPKOW"
"594","GPR137"
"595","GPR157"
"596","GPR161"
"597","GPR89A"
"598","GPRC5A"
"599","GRAMD1C"
"600","GRB10"
"601","GRIN3B"
"602","GRINA"
"603","GRIP2"
"604","GRK5"
"605","GRPEL1"
"606","GSTCD"
"607","GSTK1"
"608","GTF2A1"
"609","GTF2IP4"
"610","GTPBP8"
"611","GUCD1"
"612","GUF1"
"613","GUK1"
"614","GXYLT1"
"615","GYPC"
"616","H2AJ"
"617","H6PD"
"618","HACD1"
"619","HADHA"
"620","HARBI1"
"621","HAUS2"
"622","HAUS3"
"623","HAUS6"
"624","HAX1"
"625","HDAC10"
"626","HDAC4"
"627","HEATR1"
"628","HEBP1"
"629","HECTD2"
"630","HEXIM2"
"631","HIKESHI"
"632","HINT3"
"633","HK1"
"634","HLA-C_3"
"635","HLTF"
"636","HM13"
"637","HMGCL"
"638","HMOX1"
"639","HNRNPA1L2"
"640","HNRNPF"
"641","HNRNPH1"
"642","HNRNPUL2"
"643","HOOK2"
"644","HOOK3"
"645","HP1BP3"
"646","HPF1"
"647","HPS4"
"648","HPS6"
"649","HS1BP3"
"650","HS6ST1"
"651","HSP90B1"
"652","HTATIP2"
"653","HVCN1"
"654","ICAM1"
"655","ICE1"
"656","ICE2"
"657","ID1"
"658","ID2"
"659","IDI2-AS1"
"660","IER5"
"661","IER5L"
"662","IFI35"
"663","IFI6"
"664","IFIT3"
"665","IFIT5"
"666","IFITM3"
"667","IFT43"
"668","IFT74"
"669","IFT81"
"670","IFTAP"
"671","IGF2R"
"672","IGFBP2"
"673","IKBKG"
"674","ILK"
"675","ILRUN"
"676","ILVBL"
"677","IMPACT"
"678","INAFM1"
"679","INF2"
"680","INIP"
"681","INPP4A"
"682","INSIG1"
"683","INVS"
"684","IPPK"
"685","IQCB1"
"686","IRAK1"
"687","IRAK1BP1"
"688","IREB2"
"689","IRF1"
"690","IRF2BPL"
"691","ITGA3"
"692","ITPRID2"
"693","JADE2"
"694","JAGN1"
"695","JMJD6"
"696","JMY"
"697","JTB"
"698","JUND"
"699","KANSL1L"
"700","KARS1"
"701","KAT14"
"702","KCNC4"
"703","KCNG2"
"704","KCTD15"
"705","KCTD6"
"706","KDELR1"
"707","KEAP1"
"708","KIAA0586"
"709","KIAA0753"
"710","KIAA1109"
"711","KIAA1191"
"712","KIAA1586"
"713","KIAA1958"
"714","KIAA2026"
"715","KIF27"
"716","KIF2A"
"717","KIF3A"
"718","KIF5B"
"719","KIF9"
"720","KLC3"
"721","KLF16"
"722","KLF7"
"723","KLF9-DT"
"724","KLHDC10"
"725","KLHL21"
"726","KLHL8"
"727","KMT2E-AS1"
"728","KMT5A"
"729","KMT5B"
"730","KNOP1"
"731","KPTN"
"732","KRBA2"
"733","KRBOX4"
"734","KRBOX5"
"735","KRCC1"
"736","KRIT1"
"737","KRTCAP2"
"738","L3MBTL3"
"739","LAGE3"
"740","LAMTOR1"
"741","LAMTOR2"
"742","LAMTOR4"
"743","LATS1"
"744","LEO1"
"745","LGALS3"
"746","LGALS8"
"747","LIMD1-AS1"
"748","LIMS1"
"749","LIN54"
"750","LIN9"
"751","LINC-PINT"
"752","LINC00641"
"753","LINC00667"
"754","LINC01000"
"755","LINC01128"
"756","LINC01963"
"757","LIX1L-AS1"
"758","LMAN2"
"759","LMLN"
"760","LMO7-AS1"
"761","LOC100130283"
"762","LOC100421372"
"763","LOC100652758"
"764","LOC100652999"
"765","LOC101927393"
"766","LOC101929160"
"767","LOC101929162"
"768","LOC102724146"
"769","LOC102724250"
"770","LOC102724965"
"771","LOC105369663"
"772","LOC105369968"
"773","LOC105371566"
"774","LOC105371709"
"775","LOC105371729"
"776","LOC105372064"
