"","V1","V2"
"286","RPS13","RPS27A"
"287","RPS13","RPS21"
"288","RPS13","RPL24"
"289","ITPRIP","TNFAIP8L3"
"290","RPS27A","RPS6"
"291","RPS27A","RPS3A"
"292","RPS27A","RPS20"
"293","RPS27A","RPS13"
"294","RPS27A","RPL24"
"295","RPL18","RPS3"
"296","RPL18","RPS3A"
"297","RPL18","RACK1"
"298","RPL18","RPS8"
"299","RPL18","RPL10A"
"300","RPL18","RPS16"
"301","RPL18","RPL18A"
"302","RPL18","RPLP1"
"303","RPL18","RPS15A"
"304","RPL26","RPL15"
"305","RPL26","RPS6"
"306","RPL26","RPS3A"
"307","RPL26","RPS8"
"308","RPL26","RPL5"
"309","RPL26","RPL19"
"310","RPL26","RPL7"
"311","RPL26","RPS7"
"312","LOC112268430","FN1"
"313","IGFBP7.AS1","IGFBP7"
"314","ESAM","CLEC14A"
"315","TUBB4B","TUBA1B"
"316","RPS21","RPS3"
"317","RPS21","RPS16"
"318","RPS21","RPL18A"
"319","RPS21","RPS13"
"320","MOV10","RHOC"
"321","RPL24","RPS6"
"322","RPL24","RPL32"
"323","RPL24","RPS20"
"324","RPL24","RPS13"
"325","RPL24","RPS27A"
"326","RPL24","RPL35A"
"327","RPL24","RPL30"
"328","RPL24","RPL36"
"329","RPL21","RPL34"
"330","RPL6","NACA"
"331","RPL35A","RPS6"
"332","RPL35A","RPL5"
"333","RPL35A","RPL32"
"334","RPL35A","RPL24"
"335","CKAP4","SEC31A"
"336","RPL37","RPL37A"
"337","RPL37","RPL19"
"338","RPL37","RPL31"
"339","H3C2","H1.5"
"340","H3C2","H2BC4"
"341","H3C2","H2AC11"
"342","H3C2","H3C3"
"343","H3C2","H2AZ1"
"344","H3C2","H3C4"
"345","H3C2","H4C8"
"346","H3C2","H2BC21"
"347","H3C2","H3C10"
"348","H1.4","H1.2"
"349","RPS5","RPS2"
"350","RPS5","RPLP0"
"351","RPS5","RPSA"
"352","RPS5","RPL10A"
"353","RPS5","RPL18A"
"354","PRR29","ICAM2"
"355","PRKAR1A","FAM20A"
"356","RPL34","RPS3A"
"357","RPL34","RPS8"
"358","RPL34","RPL32"
"359","RPL34","RPL21"
"360","RPS24","RPL37A"
"361","RPS24","RPL19"
"362","RPS24","RPL7"
"363","KLHL4","PKHD1L1"
"364","KLHL4","PROX1"
"365","RPL11","RPL7"
"366","SLC40A1","PROX1"
"367","SNRK","SNRK.AS1"
"368","LRP5","HMBOX1"
"369","RPL30","RPL15"
"370","RPL30","RPS6"
"371","RPL30","RPS3A"
"372","RPL30","RPL32"
"373","RPL30","RPL37A"
"374","RPL30","RPL19"
"375","RPL30","RPS7"
"376","RPL30","RPS20"
"377","RPL30","RPL24"
"378","RPL30","RPLP2"
"379","RPL35","RPL8"
"380","H2BC12","H1.2"
"381","H2BC12","H2BC4"
"382","H2BC12","H4C8"
"383","H2BC12","H3C10"
"384","CEACAM1","PLSCR4"
"385","CEACAM1","MRC1"
"386","LRRC75A","SNHG29"
"387","FAM107A","ADAM15"
"388","LOC102723566","ENG"
"389","PPIB","SNX22"
"390","EIF3L","RPL15"
"391","RPL31","RPL37"
"392","RPL36","RPL24"
"393","SH3BP5","SH3BP5.AS1"
"394","NACA","RPL6"
"395","H2BC4","H1.5"
"396","H2BC4","H1.2"
"397","H2BC4","H3C2"
"398","H2BC4","H2BC12"
"399","H2BC4","H2AC11"
"400","H2BC4","H3C3"
"401","H2BC4","H3C4"
"402","H2BC4","H2AC6"
"403","H2BC4","H4C8"
"404","H2BC4","H3C10"
"405","H2AC11","H1.5"
"406","H2AC11","H3C2"
"407","H2AC11","H2BC4"
"408","H2AC11","H3C3"
"409","H2AC11","H2AZ1"
"410","H2AC11","H3C4"
"411","H2AC11","H4C8"
"412","H2AC11","H2BC21"
"413","H2AC11","H3C10"
"414","IARS1","LRRC59"
"415","H3C3","H1.5"
"416","H3C3","H3C2"
"417","H3C3","H2BC4"
"418","H3C3","H2AC11"
"419","H3C3","H2AZ1"
"420","H3C3","H3C4"
"421","H3C3","H4C8"
"422","H3C3","H2BC21"
"423","H3C3","H3C10"
"424","SLC20A1","NIBAN2"
"425","SLC20A1","MLEC"
"426","SNX32","CFL1"
"427","TNFAIP8L3","ITPRIP"
"428","SNX22","PPIB"
"429","NFIA","HMBOX1"
"430","SLC19A1","COL18A1"
"431","NONO","SET"
"432","SEC31A","CKAP4"
"433","EML6","RTN4"
"434","H2AZ1","H1.5"
"435","H2AZ1","H3C2"
"436","H2AZ1","H2AC11"
"437","H2AZ1","H3C3"
"438","H2AZ1","H3C4"
"439","H2AZ1","H3C10"
"440","RPLP2","RPL12"
"441","RPLP2","RPL32"
"442","RPLP2","RPL37A"
"443","RPLP2","RPL30"
"444","SET","NONO"
"445","PAWR","THBS1"
"446","SH3BP5.AS1","SH3BP5"
"447","HMBOX1","MMRN1"
"448","HMBOX1","FLT4"
"449","HMBOX1","LRP5"
"450","HMBOX1","NFIA"
"451","MLEC","SLC20A1"
"452","H3C4","H1.5"
"453","H3C4","H3C2"
"454","H3C4","H2BC4"
"455","H3C4","H2AC11"
"456","H3C4","H3C3"
"457","H3C4","H2AZ1"
"458","H3C4","H4C8"
"459","H3C4","H2BC21"
"460","H3C4","H3C10"
"461","FAM20A","PRKAR1A"
"462","SRFBP1","LOX"
"463","LRRC59","IARS1"
"464","CLMAT3","SPARC"
"465","H2AC6","H2BC4"
"466","KRT7.AS","KRT7"
"467","H4C8","H1.5"
"468","H4C8","H3C2"
"469","H4C8","H2BC12"
"470","H4C8","H2BC4"
"471","H4C8","H2AC11"
"472","H4C8","H3C3"
"473","H4C8","H3C4"
"474","H4C8","H3C10"
"475","H2BC21","H1.5"
"476","H2BC21","H3C2"
"477","H2BC21","H2AC11"
"478","H2BC21","H3C3"
"479","H2BC21","H3C4"
"480","H2BC21","H3C10"
"481","H3C10","H1.5"
"482","H3C10","H1.2"
"483","H3C10","H3C2"
"484","H3C10","H2BC12"
"485","H3C10","H2BC4"
"486","H3C10","H2AC11"
"487","H3C10","H3C3"
"488","H3C10","H2AZ1"
"489","H3C10","H3C4"
"490","H3C10","H4C8"
"491","H3C10","H2BC21"
"492","SNRK.AS1","SNRK"
